"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"183",110613,7339001,0.30723108780533,1,1,1,"Appenheim",2016,7339,0,83.9966666666667,79.7266666666667
"184",112021,7340001,0.606344071620633,4,7,2,"Bobenthal",2016,7340,0,83.39,79.2833333333333
"185",113825,7340501,0.606344071620633,4,7,2,"Bruchweiler-Bärenbach",2016,7341,0,NA,NA
"186",113869,8111000,0.224175054343907,1,1,1,"Stuttgart, Landeshauptstadt",2016,8111,0,84.2433333333333,79.8433333333333
"187",113891,8115001,0.2167987060484,1,1,1,"Aidlingen",2016,8115,0,84.5066666666667,80.6866666666667
"188",114463,8116004,0.308034656474394,1,1,1,"Altbach",2016,8116,0,84.4866666666667,80.4766666666667
"189",115431,8117001,0.448793101672041,2,3,2,"Adelberg",2016,8117,0,83.77,79.8566666666667
"190",116267,8118001,0.285833496450905,1,1,1,"Affalterbach",2016,8118,0,84.4266666666667,80.0366666666667
"191",117125,8119001,0.406904509256493,1,2,1,"Alfdorf",2016,8119,0,84.3766666666667,79.7966666666667
"192",117807,8121000,0.418731391719122,1,2,1,"Heilbronn, Stadt",2016,8121,0,83.17,78.1933333333333
"193",117829,8125001,0.331482378151174,1,1,1,"Abstatt",2016,8125,0,83.5666666666667,79.49
"194",118841,8126011,0.40623486869894,1,2,1,"Bretzfeld",2016,8126,0,84.1866666666667,78.8366666666667
"195",119193,8127008,0.467017626999907,2,3,2,"Blaufelden",2016,8127,0,84.1666666666667,78.93
"196",119853,8128006,0.45945583978077,2,3,2,"Assamstadt",2016,8128,0,83.8966666666667,78.91
"197",120249,8135010,0.468356908115013,2,3,2,"Dischingen",2016,8135,0,84.2833333333333,79.3633333333333
"198",120491,8136002,0.372845560283103,1,1,1,"Abtsgmünd",2016,8136,0,83.84,79.24
"199",121415,8211000,0.390235610454634,1,2,1,"Baden-Baden, Stadt",2016,8211,0,83.05,78.9533333333333
"200",121437,8212000,0.335180854461351,1,1,1,"Karlsruhe, Stadt",2016,8212,0,83.67,79.1333333333333
"201",121459,8215007,0.379954052355589,1,2,1,"Bretten, Stadt",2016,8215,0,83.8833333333333,79.69
"202",122163,8216002,0.406255473023788,1,2,1,"Au am Rhein",2016,8216,0,83.9533333333333,79.23
"203",122669,8221000,0.168079779945811,1,1,1,"Heidelberg, Stadt",2016,8221,0,84.4533333333333,80.0966666666667
"204",122691,8222000,0.476495616429889,2,3,2,"Mannheim, Universitätsstadt",2016,8222,0,82.3733333333333,77.56
"205",122713,8225001,0.600162774166298,3,6,2,"Adelsheim, Stadt",2016,8225,0,83.2833333333333,78.5066666666667
"206",123307,8226003,0.362151915687103,1,1,1,"Altlußheim",2016,8226,0,83.7666666666667,79.6166666666667
"207",124495,8231000,0.708644544489888,5,9,3,"Pforzheim, Stadt",2016,8231,0,83.53,78.41
